id	rate
00000	1.0
01001	1.0
01003	1.0
01005	0.0
01007	0.0
01011	1.0
01013	1.0
01015	1.0
01019	1.0
01025	0.0
01027	0.0
01031	2.0
01033	1.0
01035	0.0
01039	1.0
01041	0.0
01043	1.0
01045	0.0
01047	1.0
01051	0.0
01053	1.0
01055	2.0
01057	1.0
01059	1.0
01061	0.0
01063	0.0
01065	0.0
01069	1.0
01071	0.0
01073	1.0
01077	1.0
01079	0.0
01081	0.0
01083	0.0
01089	2.0
01091	0.0
01093	1.0
01095	0.0
01097	0.0
01099	0.0
01101	1.0
01103	0.0
01107	0.0
01109	1.0
01111	0.0
01113	0.0
01117	1.0
01119	0.0
01121	1.0
01123	0.0
01125	1.0
01127	1.0
01133	1.0
02020	2.0
02050	0.0
02090	1.0
02110	1.0
04001	0.0
04003	1.0
04005	1.0
04007	2.0
04009	1.0
04013	1.0
04015	2.0
04017	1.0
04019	1.0
04021	2.0
04025	1.0
04027	1.0
05001	0.0
05005	0.0
05007	1.0
05009	0.0
05027	0.0
05031	0.0
05033	2.0
05043	0.0
05045	0.0
05051	1.0
05055	0.0
05057	1.0
05059	0.0
05063	1.0
05069	1.0
05071	0.0
05093	0.0
05103	0.0
05107	2.0
05113	0.0
05115	2.0
05119	1.0
05121	0.0
05125	0.0
05131	1.0
05139	2.0
05143	1.0
05145	0.0
05149	0.0
06001	2.0
06005	2.0
06007	2.0
06013	2.0
06015	1.0
06017	2.0
06019	2.0
06023	2.0
06025	2.0
06029	2.0
06031	1.0
06037	2.0
06039	1.0
06041	2.0
06045	1.0
06047	2.0
06053	2.0
06055	2.0
06057	2.0
06059	2.0
06061	2.0
06065	2.0
06067	2.0
06069	2.0
06071	2.0
06073	2.0
06075	2.0
06077	2.0
06079	2.0
06081	2.0
06083	2.0
06085	2.0
06087	2.0
06089	2.0
06095	2.0
06097	2.0
06099	2.0
06101	2.0
06103	2.0
06107	1.0
06109	2.0
06111	2.0
06113	2.0
06115	2.0
08001	2.0
08003	1.0
08005	2.0
08013	2.0
08014	1.0
08029	0.0
08031	2.0
08035	2.0
08037	1.0
08041	1.0
08043	1.0
08045	1.0
08059	2.0
08067	1.0
08069	1.0
08075	0.0
08077	1.0
08085	0.0
08087	2.0
08089	0.0
08101	2.0
08107	0.0
08117	2.0
08123	1.0
09001	1.0
09003	1.0
09005	0.0
09007	2.0
09009	1.0
09011	0.0
09013	1.0
09015	0.0
10001	1.0
10003	0.0
10005	1.0
12001	1.0
12003	1.0
12005	1.0
12009	1.0
12011	2.0
12015	2.0
12017	1.0
12019	2.0
12021	1.0
12023	2.0
12031	1.0
12033	1.0
12035	1.0
12045	1.0
12053	2.0
12055	1.0
12061	1.0
12063	0.0
12069	1.0
12071	1.0
12073	1.0
12075	0.0
12081	2.0
12083	1.0
12085	2.0
12086	2.0
12087	2.0
12089	1.0
12091	2.0
12093	2.0
12095	2.0
12097	2.0
12099	2.0
12101	2.0
12103	2.0
12105	2.0
12107	1.0
12113	2.0
12115	1.0
12117	2.0
12119	1.0
12123	0.0
12127	1.0
12131	1.0
13001	0.0
13009	0.0
13013	1.0
13015	2.0
13017	0.0
13019	0.0
13021	1.0
13031	1.0
13033	0.0
13039	1.0
13045	1.0
13047	1.0
13051	1.0
13055	1.0
13057	2.0
13059	1.0
13063	1.0
13067	1.0
13069	1.0
13071	1.0
13075	1.0
13077	1.0
13081	0.0
13087	0.0
13089	1.0
13091	0.0
13095	1.0
13097	1.0
13105	0.0
13107	1.0
13109	1.0
13111	2.0
13113	1.0
13115	1.0
13117	2.0
13119	0.0
13121	1.0
13123	1.0
13127	0.0
13129	1.0
13131	0.0
13135	1.0
13137	0.0
13139	1.0
13151	1.0
13153	1.0
13157	0.0
13163	0.0
13175	2.0
13185	1.0
13187	1.0
13189	0.0
13213	1.0
13215	0.0
13217	0.0
13223	1.0
13227	1.0
13235	0.0
13245	1.0
13247	1.0
13253	0.0
13255	2.0
13257	0.0
13261	0.0
13275	1.0
13277	1.0
13279	1.0
13285	0.0
13291	0.0
13293	1.0
13297	1.0
13299	0.0
13303	0.0
13305	1.0
13313	1.0
15001	1.0
15003	1.0
15007	1.0
15009	1.0
16001	1.0
16005	1.0
16019	1.0
16027	1.0
16055	0.0
16065	0.0
16069	1.0
16083	0.0
17001	1.0
17005	0.0
17011	1.0
17019	1.0
17027	1.0
17029	1.0
17031	1.0
17037	1.0
17043	2.0
17049	0.0
17057	1.0
17063	1.0
17075	0.0
17077	1.0
17081	1.0
17083	0.0
17089	2.0
17091	1.0
17095	1.0
17097	2.0
17099	1.0
17103	1.0
17105	1.0
17109	1.0
17111	1.0
17113	1.0
17115	1.0
17119	1.0
17121	0.0
17137	1.0
17143	1.0
17159	1.0
17161	0.0
17165	1.0
17167	1.0
17173	0.0
17177	1.0
17179	1.0
17183	2.0
17195	1.0
17197	1.0
17199	1.0
17201	1.0
18003	1.0
18005	0.0
18011	1.0
18017	1.0
18019	0.0
18027	0.0
18029	0.0
18033	1.0
18035	1.0
18037	0.0
18039	1.0
18041	0.0
18043	0.0
18053	0.0
18057	1.0
18059	1.0
18063	1.0
18065	1.0
18067	1.0
18069	1.0
18071	1.0
18077	1.0
18081	1.0
18083	0.0
18085	2.0
18089	1.0
18091	1.0
18095	1.0
18097	1.0
18099	0.0
18105	1.0
18107	1.0
18109	1.0
18113	1.0
18127	2.0
18145	1.0
18149	1.0
18157	1.0
18163	1.0
18167	1.0
18173	1.0
18177	0.0
18179	1.0
18183	1.0
19013	0.0
19027	0.0
19033	0.0
19041	0.0
19045	1.0
19057	0.0
19059	0.0
19061	0.0
19099	0.0
19103	1.0
19111	0.0
19113	1.0
19127	0.0
19139	0.0
19153	1.0
19155	1.0
19157	1.0
19163	0.0
19169	1.0
19179	1.0
19187	1.0
19193	0.0
20009	0.0
20011	1.0
20015	0.0
20021	0.0
20031	0.0
20035	0.0
20037	1.0
20045	0.0
20051	1.0
20055	1.0
20057	1.0
20059	0.0
20061	1.0
20079	1.0
20091	1.0
20099	0.0
20103	1.0
20113	0.0
20121	0.0
20125	0.0
20129	0.0
20151	0.0
20155	1.0
20161	1.0
20169	1.0
20173	1.0
20175	1.0
20177	1.0
20191	0.0
20209	1.0
21001	1.0
21009	0.0
21013	0.0
21015	0.0
21017	1.0
21019	1.0
21021	0.0
21025	2.0
21035	0.0
21037	0.0
21047	1.0
21049	1.0
21051	1.0
21053	0.0
21055	0.0
21059	0.0
21067	1.0
21069	0.0
21071	0.0
21073	1.0
21083	1.0
21085	0.0
21093	0.0
21095	0.0
21097	0.0
21101	1.0
21107	1.0
21111	1.0
21115	2.0
21117	1.0
21121	1.0
21125	1.0
21127	2.0
21133	1.0
21141	1.0
21145	1.0
21151	1.0
21155	1.0
21161	1.0
21171	0.0
21173	0.0
21177	0.0
21179	1.0
21185	1.0
21193	1.0
21195	2.0
21199	1.0
21203	0.0
21205	0.0
21209	1.0
21211	1.0
21217	1.0
21227	1.0
23001	0.0
23003	0.0
23005	0.0
23007	0.0
23009	0.0
23011	0.0
23013	0.0
23019	0.0
23031	0.0
24001	0.0
24003	0.0
24005	0.0
24009	0.0
24013	0.0
24015	0.0
24017	0.0
24021	0.0
24023	0.0
24025	0.0
24027	0.0
24029	0.0
24031	0.0
24039	0.0
24041	0.0
24043	0.0
24045	0.0
24047	0.0
25001	0.0
25003	0.0
25005	0.0
25009	0.0
25011	0.0
25013	0.0
25015	0.0
25017	0.0
25019	1.0
25021	0.0
25023	0.0
25025	1.0
25027	0.0
26007	1.0
26015	0.0
26017	1.0
26021	0.0
26023	0.0
26025	0.0
26033	0.0
26035	0.0
26039	0.0
26043	0.0
26047	0.0
26049	1.0
26055	0.0
26057	0.0
26059	0.0
26061	0.0
26063	0.0
26065	1.0
26069	0.0
26073	0.0
26075	1.0
26077	1.0
26081	0.0
26087	1.0
26091	1.0
26093	0.0
26099	0.0
26101	0.0
26103	0.0
26105	0.0
26107	0.0
26111	0.0
26115	0.0
26117	0.0
26121	0.0
26125	0.0
26129	0.0
26137	0.0
26139	0.0
26145	1.0
26155	1.0
26159	0.0
26161	1.0
26163	0.0
26165	0.0
27003	1.0
27005	0.0
27007	0.0
27013	0.0
27019	0.0
27025	1.0
27035	0.0
27037	1.0
27041	0.0
27047	0.0
27049	0.0
27053	1.0
27059	0.0
27061	0.0
27067	0.0
27085	0.0
27091	0.0
27105	0.0
27109	1.0
27111	0.0
27123	1.0
27131	0.0
27139	0.0
27141	0.0
27145	1.0
27147	1.0
27163	1.0
27169	0.0
27171	0.0
28001	2.0
28003	1.0
28011	1.0
28017	1.0
28025	0.0
28027	2.0
28033	1.0
28035	1.0
28039	0.0
28043	0.0
28045	1.0
28047	2.0
28049	1.0
28059	2.0
28067	0.0
28071	1.0
28075	0.0
28081	1.0
28083	0.0
28085	0.0
28087	1.0
28089	2.0
28091	0.0
28093	0.0
28095	1.0
28099	0.0
28105	1.0
28107	1.0
28109	0.0
28113	0.0
28117	0.0
28121	2.0
28125	0.0
28127	0.0
28133	0.0
28137	1.0
28141	0.0
28145	0.0
28149	2.0
28151	0.0
28153	0.0
28155	1.0
28159	1.0
28161	0.0
29001	2.0
29007	0.0
29013	1.0
29019	1.0
29021	0.0
29023	2.0
29027	0.0
29029	1.0
29031	1.0
29037	2.0
29047	1.0
29049	0.0
29051	1.0
29053	0.0
29069	2.0
29071	1.0
29077	1.0
29083	0.0
29091	0.0
29095	2.0
29097	1.0
29099	1.0
29101	0.0
29105	1.0
29127	1.0
29143	1.0
29147	1.0
29155	0.0
29159	0.0
29161	1.0
29165	1.0
29167	0.0
29175	2.0
29181	1.0
29195	0.0
29207	0.0
29213	1.0
29215	0.0
29217	0.0
30013	0.0
30029	0.0
30031	0.0
30041	1.0
30049	0.0
30063	0.0
30093	1.0
30111	0.0
31001	1.0
31019	1.0
31053	1.0
31055	1.0
31079	1.0
31109	1.0
31111	1.0
31119	1.0
31141	0.0
31153	1.0
31157	1.0
32001	1.0
32003	2.0
32007	2.0
32031	1.0
33001	1.0
33005	1.0
33009	1.0
33013	1.0
33015	1.0
33017	1.0
34001	2.0
34003	2.0
34005	2.0
34007	2.0
34009	1.0
34011	2.0
34013	2.0
34015	2.0
34017	2.0
34019	1.0
34021	2.0
34023	2.0
34025	2.0
34027	2.0
34029	2.0
34031	2.0
